k,weight,metric,accuracy,precision,recall,f1,specificity
3,distance,minkowski,0.9296992481203008,0.9287521636694785,0.9635714285714286,0.9452054237778823,0.8738095238095239
3,distance,chebyshev,0.9103696741854638,0.9172305602438502,0.944047619047619,0.9297040502866339,0.8547619047619047
3,distance,cosine,0.9068609022556391,0.9114708244971403,0.9442063492063492,0.9269761884918722,0.8441558441558442
3,distance,canberra,0.9525689223057643,0.9618699197317617,0.9635714285714286,0.9621708451546137,0.9341991341991343
3,distance,braycurtis,0.9385025062656641,0.9386549475171766,0.9664285714285714,0.9517612869399648,0.8922077922077921
3,distance,correlation,0.9068609022556391,0.9113596491228071,0.9442063492063492,0.927021445016002,0.8441558441558442
4,uniform,euclidean,0.9209273182957393,0.9399172066914001,0.9356349206349206,0.936696404183228,0.8971861471861471
4,uniform,manhattan,0.9384711779448622,0.9480363745069628,0.9552380952380952,0.9511470330502005,0.9108225108225108
4,uniform,minkowski,0.9209273182957393,0.9399172066914001,0.9356349206349206,0.936696404183228,0.8971861471861471
4,uniform,chebyshev,0.9156641604010025,0.9370768366724249,0.93,0.9325672266205343,0.8926406926406927
4,uniform,cosine,0.9173558897243108,0.9388728623188823,0.9302380952380952,0.9336600085475426,0.895887445887446
4,uniform,canberra,0.9490601503759398,0.9668999497617918,0.9523015873015872,0.9590373121092648,0.9437229437229437
4,uniform,braycurtis,0.93671679197995,0.947947247947248,0.9524603174603176,0.9496149419528921,0.9108225108225108
4,uniform,correlation,0.9173245614035087,0.9412951507473629,0.9273809523809524,0.933334302647434,0.9004329004329005
4,distance,euclidean,0.9244674185463658,0.9304846812379093,0.9524603174603173,0.9406716289433132,0.8783549783549784
4,distance,manhattan,0.9402882205513784,0.9365344282481638,0.9720634920634922,0.953435658214896,0.8876623376623376
4,distance,minkowski,0.9244674185463658,0.9304846812379093,0.9524603174603173,0.9406716289433132,0.8783549783549784
4,distance,chebyshev,0.9174498746867167,0.9224231849464047,0.9496031746031746,0.9350713995711019,0.864069264069264
4,distance,cosine,0.912124060150376,0.9145216700287303,0.9497619047619047,0.9312395767730516,0.848917748917749
4,distance,canberra,0.9543233082706767,0.9576202753505385,0.971984126984127,0.9639438457006779,0.9246753246753248
4,distance,braycurtis,0.9402882205513784,0.9365344282481638,0.9720634920634922,0.953435658214896,0.8876623376623376
4,distance,correlation,0.912124060150376,0.9145216700287303,0.9497619047619047,0.9312395767730516,0.848917748917749
5,uniform,euclidean,0.9297619047619046,0.9355492539703064,0.9552380952380952,0.9446365296609323,0.8876623376623376
5,uniform,manhattan,0.9332393483709271,0.9288441041336911,0.9692063492063492,0.9479865645198225,0.8735930735930737
5,uniform,minkowski,0.9297619047619046,0.9355492539703064,0.9552380952380952,0.9446365296609323,0.8876623376623376
5,uniform,chebyshev,0.9227443609022556,0.9284381505690877,0.9524603174603173,0.9394528499669403,0.8740259740259739
5,uniform,cosine,0.9226503759398497,0.9274421745938775,0.9525396825396826,0.939197847307152,0.8725108225108226
5,uniform,canberra,0.9595551378446115,0.9572427690848743,0.9803174603174604,0.9684080168131288,0.9246753246753248
5,uniform,braycurtis,0.931484962406015,0.9287018566230225,0.9664285714285714,0.9465796781814294,0.8735930735930737
5,uniform,correlation,0.9279135338345865,0.9300766642871906,0.9580952380952381,0.9434768782177618,0.8772727272727273
5,distance,euclidean,0.9297619047619046,0.9304628688839214,0.9607936507936508,0.9449928599529217,0.8781385281385281
5,distance,manhattan,0.931484962406015,0.9263547726969913,0.9692063492063492,0.9466907481555131,0.8688311688311687
5,distance,minkowski,0.9297619047619046,0.9304628688839214,0.9607936507936508,0.9449928599529217,0.8781385281385281
5,distance,chebyshev,0.9262531328320801,0.925983344430071,0.9608730158730158,0.9425489062863273,0.869047619047619
5,distance,cosine,0.9173872180451127,0.9197247643996871,0.9525396825396826,0.9351544771267954,0.8582251082251083
5,distance,canberra,0.9595551378446115,0.9572427690848743,0.9803174603174604,0.9684080168131288,0.9246753246753248
5,distance,braycurtis,0.9297305764411027,0.9262125251863227,0.9664285714285714,0.94528386181712,0.8688311688311687
5,distance,correlation,0.9208959899749374,0.9270822823454402,0.9497619047619047,0.9375916898727761,0.8725108225108226
6,uniform,euclidean,0.9262218045112782,0.937709704673714,0.9468253968253968,0.941418543680798,0.8924242424242423
6,uniform,manhattan,0.9420112781954886,0.9460118489530254,0.9635714285714286,0.9542803128151551,0.9064935064935066
6,uniform,minkowski,0.9262218045112782,0.937709704673714,0.9468253968253968,0.941418543680798,0.8924242424242423
6,uniform,chebyshev,0.9244987468671679,0.935641202476087,0.9469047619047618,0.940268670119573,0.8878787878787879
6,uniform,cosine,0.9243734335839597,0.9345675622455808,0.9469047619047618,0.9400316566861961,0.8867965367965368
6,uniform,canberra,0.963063909774436,0.9747342262048144,0.9662698412698413,0.9702105359308255,0.9577922077922076
6,uniform,braycurtis,0.9420112781954886,0.9460118489530254,0.9635714285714286,0.9542803128151551,0.9064935064935066
6,uniform,correlation,0.9244047619047621,0.937018442867901,0.9442063492063492,0.9397066445978615,0.8915584415584418
6,distance,euclidean,0.9297619047619048,0.9332141587075797,0.9580952380952381,0.9447003388792268,0.8829004329004329
6,distance,manhattan,0.9332393483709274,0.9299905583766913,0.9692063492063492,0.9482525187331452,0.8740259740259742
6,distance,minkowski,0.9297619047619048,0.9332141587075797,0.9580952380952381,0.9447003388792268,0.8829004329004329
6,distance,chebyshev,0.9244987468671679,0.9287109263352846,0.9553174603174602,0.9408036252946979,0.8738095238095237
6,distance,cosine,0.919172932330827,0.9202286977791019,0.9553968253968254,0.9366653354884109,0.8582251082251083
6,distance,canberra,0.9542919799498746,0.9570574162679426,0.971984126984127,0.9639383893536266,0.9246753246753248
6,distance,braycurtis,0.9349937343358394,0.9319285428728155,0.9692063492063492,0.9494180198986465,0.8785714285714287
6,distance,correlation,0.9174185463659148,0.9200864502684333,0.9526190476190475,0.9352584491500175,0.8582251082251083
7,uniform,euclidean,0.9279761904761905,0.9310779708404869,0.9580952380952381,0.9436000876652104,0.8783549783549784
7,uniform,manhattan,0.9332706766917293,0.9275722693060153,0.971984126984127,0.9484925736980532,0.8692640692640692
7,uniform,minkowski,0.9279761904761905,0.9310779708404869,0.9580952380952381,0.9436000876652104,0.8783549783549784
7,uniform,chebyshev,0.9191729323308271,0.923190797953314,0.9524603174603173,0.9367507725967172,0.8642857142857142
7,uniform,cosine,0.924436090225564,0.9206091806091805,0.9637301587301588,0.941101134238415,0.8586580086580087
7,uniform,canberra,0.963095238095238,0.9644101244101243,0.9774603174603174,0.9708050573309487,0.9387445887445887
7,uniform,braycurtis,0.9368107769423559,0.930069842066746,0.9748412698412698,0.9512350253639082,0.8738095238095237
7,uniform,correlation,0.9226503759398497,0.9181207306207305,0.9637301587301588,0.9397728274290111,0.8541125541125542
7,distance,euclidean,0.9262218045112782,0.9257663605288766,0.9608730158730158,0.9424723996923596,0.868831168831169
7,distance,manhattan,0.9297619047619048,0.9248695666033127,0.9692063492063492,0.9457528476706558,0.8645021645021644
7,distance,minkowski,0.9262218045112782,0.9257663605288766,0.9608730158730158,0.9424723996923596,0.868831168831169
7,distance,chebyshev,0.9226817042606518,0.925878168765685,0.9553174603174602,0.9393989721092227,0.868831168831169
7,distance,cosine,0.924436090225564,0.9251830567000846,0.9581746031746032,0.9406329418929316,0.8677489177489178
7,distance,canberra,0.963095238095238,0.9644101244101243,0.9774603174603174,0.9708050573309487,0.9387445887445887
7,distance,braycurtis,0.9333020050125314,0.9273671393640432,0.972063492063492,0.9484952993365109,0.869047619047619
7,distance,correlation,0.9208959899749374,0.9202410542580821,0.9581746031746032,0.938003471376137,0.8584415584415584
8,uniform,euclidean,0.9297619047619048,0.9385648403997248,0.9524603174603173,0.9445282305261523,0.8924242424242423
8,uniform,manhattan,0.9402882205513784,0.9413418887103099,0.9664285714285714,0.95308875479751,0.8971861471861471
8,uniform,minkowski,0.9297619047619048,0.9385648403997248,0.9524603174603173,0.9445282305261523,0.8924242424242423
8,uniform,chebyshev,0.9227130325814535,0.928220827983344,0.9524603174603173,0.9393720558518034,0.8735930735930737
8,uniform,cosine,0.9279135338345865,0.9273028378291537,0.9608730158730159,0.9434404367709404,0.8727272727272728
